"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
29694,215,"LKA","Sri Lanka",24,"Trincomalee",317,"Thampalakamam","","Thambalagamuwa","Division","Division"
29695,215,"LKA","Sri Lanka",24,"Trincomalee",318,"Trincomalee Town and Gravets","","","Division","Division"
29696,215,"LKA","Sri Lanka",24,"Trincomalee",319,"Verugal","","Echchilampattai","Division","Division"
29697,215,"LKA","Sri Lanka",25,"Vavuniya",320,"Vavuniya North","","","Division","Division"
29698,215,"LKA","Sri Lanka",25,"Vavuniya",321,"Vavuniya South","","","Division","Division"
29699,215,"LKA","Sri Lanka",25,"Vavuniya",322,"Vavuniya","","","Division","Division"
29700,215,"LKA","Sri Lanka",25,"Vavuniya",323,"Vengalacheddiculam","","Vengalacheddikulam","Division","Division"
33476,215,"LKA","Sri Lanka",1,"Ampara",1,"Addalachchenai","","","Division","Division"
33477,215,"LKA","Sri Lanka",1,"Ampara",2,"Akkaraipattu","","","Division","Division"
33478,215,"LKA","Sri Lanka",1,"Ampara",3,"Alayadiwembu","","","Division","Division"
33479,215,"LKA","Sri Lanka",1,"Ampara",4,"Ampara","","","Division","Division"
33480,215,"LKA","Sri Lanka",1,"Ampara",5,"Damana","","","Division","Division"
33481,215,"LKA","Sri Lanka",1,"Ampara",6,"Dehiattakandiya","","","Division","Division"
33482,215,"LKA","Sri Lanka",1,"Ampara",7,"Eragama","","","Division","Division"
33483,215,"LKA","Sri Lanka",1,"Ampara",8,"Kalmunai","","","Division","Division"
33484,215,"LKA","Sri Lanka",1,"Ampara",9,"Karativu","","","Division","Division"
33485,215,"LKA","Sri Lanka",1,"Ampara",10,"Lahugala","","","Division","Division"
33486,215,"LKA","Sri Lanka",1,"Ampara",11,"Mahaoya","","","Division","Division"
33487,215,"LKA","Sri Lanka",1,"Ampara",12,"Navithanveli","","","Division","Division"
33488,215,"LKA","Sri Lanka",1,"Ampara",13,"Ninthavur","","","Division","Division"
33489,215,"LKA","Sri Lanka",1,"Ampara",14,"Padiyathalawa","","","Division","Division"
33490,215,"LKA","Sri Lanka",1,"Ampara",15,"Pothuvil","","","Division","Division"
33491,215,"LKA","Sri Lanka",1,"Ampara",16,"Sainthamarathu","","","Division","Division"
33492,215,"LKA","Sri Lanka",1,"Ampara",17,"Samanthurai","","","Division","Division"
33493,215,"LKA","Sri Lanka",1,"Ampara",18,"Thirukkovil","","","Division","Division"
33494,215,"LKA","Sri Lanka",1,"Ampara",19,"Uhana","","","Division","Division"
33495,215,"LKA","Sri Lanka",2,"Anuradhapura",20,"Galenbindunuwewa","","","Division","Division"
33496,215,"LKA","Sri Lanka",2,"Anuradhapura",21,"Galnewa","","","Division","Division"
33497,215,"LKA","Sri Lanka",2,"Anuradhapura",22,"Horowpothana","","","Division","Division"
33498,215,"LKA","Sri Lanka",2,"Anuradhapura",23,"Ipalogama","","","Division","Division"
33499,215,"LKA","Sri Lanka",2,"Anuradhapura",24,"Kahatagasdigiliya","","","Division","Division"
33500,215,"LKA","Sri Lanka",2,"Anuradhapura",25,"Kebithigollewa","","","Division","Division"
33501,215,"LKA","Sri Lanka",2,"Anuradhapura",26,"Kekirawa","","","Division","Division"
33502,215,"LKA","Sri Lanka",2,"Anuradhapura",27,"Maha Vilachchiya","","","Division","Division"
33503,215,"LKA","Sri Lanka",2,"Anuradhapura",28,"Medawachchiya","","","Division","Division"
33504,215,"LKA","Sri Lanka",2,"Anuradhapura",29,"Mihinthale","","","Division","Division"
33505,215,"LKA","Sri Lanka",2,"Anuradhapura",30,"N. Palatha Central","","Nuwaragam Palatha Central","Division","Division"
33506,215,"LKA","Sri Lanka",2,"Anuradhapura",31,"N. Palatha East","","Nuwaragam Palatha East","Division","Division"
33507,215,"LKA","Sri Lanka",2,"Anuradhapura",32,"Nachchadoowa","","","Division","Division"
33508,215,"LKA","Sri Lanka",2,"Anuradhapura",33,"Nochchiyagama","","","Division","Division"
33509,215,"LKA","Sri Lanka",2,"Anuradhapura",34,"Padaviya","","","Division","Division"
33510,215,"LKA","Sri Lanka",2,"Anuradhapura",35,"Palagala","","","Division","Division"
33511,215,"LKA","Sri Lanka",2,"Anuradhapura",36,"Palugaswewa","","","Division","Division"
33512,215,"LKA","Sri Lanka",2,"Anuradhapura",37,"Rajanganaya","","","Division","Division"
33513,215,"LKA","Sri Lanka",2,"Anuradhapura",38,"Rambewa","","","Division","Division"
33514,215,"LKA","Sri Lanka",2,"Anuradhapura",39,"Thalawa","","","Division","Division"
33515,215,"LKA","Sri Lanka",2,"Anuradhapura",40,"Thambuttegama","","","Division","Division"
33516,215,"LKA","Sri Lanka",2,"Anuradhapura",41,"Thirappane","","","Division","Division"
33517,215,"LKA","Sri Lanka",3,"Badulla",42,"Badulla","","","Division","Division"
33518,215,"LKA","Sri Lanka",3,"Badulla",43,"Bandarawela","","","Division","Division"
33519,215,"LKA","Sri Lanka",3,"Badulla",44,"Ella","","","Division","Division"
33520,215,"LKA","Sri Lanka",3,"Badulla",45,"Hali-Ela","","","Division","Division"
33521,215,"LKA","Sri Lanka",3,"Badulla",46,"Haputale","","","Division","Division"
33522,215,"LKA","Sri Lanka",3,"Badulla",47,"Hildummulla","","Haldummulla","Division","Division"
